open,high,low,close,ema_rapida,ema_lenta,rsi,atr,Activo,Datetime
105126.03,105194.28,104875.43,105130.39,106423.7447009077,106570.9908124662,39.955528973559495,1094.7609219332262,BTC,2025-06-14 08:00:00
105130.38,105186.06,104680.39,104889.39,106305.7174162225,106505.04568256557,38.55694668356412,1016.2154656754626,BTC,2025-06-14 12:00:00
104889.39,105096.07,104377.14,104706.36,106182.68992266693,106434.50898913163,37.48383462873877,976.577403585402,BTC,2025-06-14 16:00:00
104706.35,105545.42,104351.72,105465.42,106127.51531323102,106396.50549936177,44.39561585739522,1005.5270831073481,BTC,2025-06-14 20:00:00
105465.42,105747.02,105296.28,105534.24,106081.8787506748,106362.69116605347,44.98945232795173,931.555472026369,BTC,2025-06-15 00:00:00
105534.24,106184.13,105254.85,105470.67,106034.8626929306,106327.70994385528,44.51651756177045,931.2520757561864,BTC,2025-06-15 04:00:00
105465.85,105533.06,104900.02,105011.89,105956.1724857821,106276.10916174331,41.15417911270327,891.4904656553607,BTC,2025-06-15 08:00:00
105011.89,105896.75,104980.41,105597.85,105928.60921764502,106249.51076324357,46.69225303150338,894.8037369013122,BTC,2025-06-15 12:00:00
105597.86,105818.46,105103.16,105333.91,105882.86312398002,106213.60485095951,44.653697825067226,870.8699053144709,BTC,2025-06-15 16:00:00
105333.93,105641.29,104505.05,105599.25,105861.04672982772,106189.51250386306,47.151689301750984,906.2525846058736,BTC,2025-06-15 20:00:00
105600.21,105999.0,104982.26,105935.25,105866.75467368714,106179.5414252802,50.215870849121586,920.9842399917578,BTC,2025-06-16 00:00:00
105940.18,107299.99,105886.3,107080.07,105960.08662186506,106214.85627134764,58.94932923286199,986.6783413261904,BTC,2025-06-16 04:00:00
107080.07,107269.22,106577.52,106900.0,106032.38765095237,106241.72465286343,57.24816687147133,947.3478958160313,BTC,2025-06-16 08:00:00
106900.0,107868.12,106506.75,107478.21,106143.60475472528,106290.21427431978,61.12734740558867,1002.5508430405598,BTC,2025-06-16 12:00:00
107479.94,108952.21,107347.82,108699.51,106340.21285051566,106384.69645964057,67.77793555932018,1082.7960639684852,BTC,2025-06-16 16:00:00
108699.54,109000.0,106738.56,106853.38,106379.68724662985,106403.07620632133,53.01323110153453,1239.9485887726876,BTC,2025-06-16 20:00:00
106853.38,107792.9,106147.24,107630.24,106475.88361227371,106451.20027666168,57.234961123813974,1294.0434436029946,BTC,2025-06-17 00:00:00
107630.25,107764.13,106501.0,106792.45,106500.23487286805,106464.58261875338,51.82683672181795,1289.921651122596,BTC,2025-06-17 04:00:00
106792.45,106862.77,105515.89,105659.83,106435.5883441859,106433.02369252777,45.55931048252148,1297.5160976395837,BTC,2025-06-17 08:00:00
105659.35,105887.83,104133.12,104246.81,106267.22077924853,106347.28982223256,39.19160114419739,1358.4752846209733,BTC,2025-06-17 12:00:00
104250.0,105377.0,103363.3,104705.02,106147.05148853711,106282.8870841058,42.02151918414434,1445.8385800048432,BTC,2025-06-17 16:00:00
104705.02,104926.69,104222.06,104590.44,106027.31214326502,106216.51661021929,41.50140106157309,1347.0107693375314,BTC,2025-06-17 20:00:00
104590.44,105279.5,104389.78,105207.65,105964.26120916773,106176.95321374011,45.420351665424626,1286.0386667591943,BTC,2025-06-18 00:00:00
105206.53,105603.63,104731.26,104996.51,105889.81880846253,106130.66132300522,44.32637320744452,1230.8828445246365,BTC,2025-06-18 04:00:00
104996.5,105336.17,104191.62,104858.58,105810.49274627311,106080.77578092659,43.5877956845491,1219.3717985880187,BTC,2025-06-18 08:00:00
104858.58,105348.75,103837.75,104823.0,105734.53176579057,106031.45124049809,43.38696730988503,1258.255558776283,BTC,2025-06-18 12:00:00
104823.25,104876.98,103512.38,103818.67,105587.15778380669,105944.6755055766,38.056727132721676,1272.4348176061108,BTC,2025-06-18 16:00:00
103818.67,105183.0,103645.68,104915.6,105535.49949274465,105904.31960339712,45.87754439978308,1307.752841925297,BTC,2025-06-18 20:00:00
104915.6,105266.61,104490.77,105129.91,105504.30030099506,105873.95059934232,47.278090244576106,1236.8311296685902,BTC,2025-06-19 00:00:00
105129.91,105247.99,104636.53,104662.53,105439.54873938006,105826.44390917204,44.569343249991256,1153.4483123794457,BTC,2025-06-19 04:00:00
104662.53,105100.0,104648.35,104802.4,105390.5372978893,105786.28532449863,45.57430977681999,1059.8752040621855,BTC,2025-06-19 08:00:00
104802.39,104946.45,104100.0,104127.74,105293.39904420551,105721.24433138105,41.65166476752345,1031.4185101872272,BTC,2025-06-19 12:00:00
104127.73,104861.57,103916.37,104269.56,105214.64219465124,105664.31553407198,42.76684181206795,1019.9227088289318,BTC,2025-06-19 16:00:00
104275.19,104919.39,104161.98,104671.9,105172.89279506268,105625.39727783386,45.92443949851084,984.9210143184081,BTC,2025-06-19 20:00:00
104671.4,104857.11,104406.53,104618.04,105130.2118108271,105585.89307085998,45.562054505994084,913.6755457426206,BTC,2025-06-20 00:00:00
104618.05,105848.76,104250.0,105837.99,105184.65628691734,105595.77922494391,54.34898418567454,1005.0201396436038,BTC,2025-06-20 04:00:00
105837.99,106553.86,105770.75,106001.7,105247.5058033083,105611.69768671082,55.38959761326207,975.4321210244568,BTC,2025-06-20 08:00:00
106001.71,106167.9,103864.03,104244.14,105170.32381843844,105558.06797350648,43.83658329303219,1152.5571715545286,BTC,2025-06-20 12:00:00
104244.15,104289.97,102357.25,103326.33,105028.47814009704,105470.54883729054,39.23442357737451,1256.578882013925,BTC,2025-06-20 16:00:00
103326.33,103843.48,102980.0,103317.8,104896.88751393574,105386.12731425955,39.193240661468266,1204.1656977454013,BTC,2025-06-20 20:00:00
103317.79,103722.23,103133.91,103515.31,104790.61232055607,105312.76192938662,40.74421744098393,1122.0529380460134,BTC,2025-06-21 00:00:00
103514.96,103637.07,103345.47,103475.28,104689.43291128254,105240.70381450871,40.51864319419421,1011.3258796398791,BTC,2025-06-21 04:00:00
103475.27,104013.64,103475.27,103897.18,104628.49037964542,105188.01660609661,44.0354245412285,948.2650956878946,BTC,2025-06-21 08:00:00
103897.18,103968.39,103307.32,103587.05,104548.37958121116,105125.23360193596,42.06654008103841,909.9724162628411,BTC,2025-06-21 12:00:00
103587.05,103686.64,102217.08,102272.72,104373.32884419493,105013.37032342868,34.93717091961014,984.584094094462,BTC,2025-06-21 16:00:00
102267.48,102913.52,100919.19,102160.03,104203.07508694916,104901.4746244707,34.39887121334486,1119.2168815485338,BTC,2025-06-21 20:00:00
102160.36,103417.0,101870.48,102416.01,104065.60854179923,104804.00542351107,36.7816562339333,1176.1906306753965,BTC,2025-06-22 00:00:00
102416.01,102990.17,102289.93,102468.55,103942.75788473774,104712.41893631456,37.28517134196415,1112.7305465853444,BTC,2025-06-22 04:00:00
102465.65,102840.0,102111.8,102765.41,103852.19266283484,104636.06564469439,40.18406692269175,1061.4598070406314,BTC,2025-06-22 08:00:00
